EVT_NAME,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,COUNT
Eastern Warm Temperate Developed Ruderal Shrub Wetland,Dsh Developed Ruderal Shrub Wetland,Shrub,Developed,Developed-Wetland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,675
Eastern Warm Temperate Developed Ruderal Herbaceous Wetland,Dgr Developed Ruderal Herbaceous Wetland,Herb,Developed,Developed-Wetland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,12169
Eastern Cool Temperate Orchard,Dab Orchard,Tree,Agricultural,Agricultural-Orchard,LF 80: Agriculture,Tree-dominated,Open tree canopy,Deciduous open tree canopy,180465
Eastern Cool Temperate Vineyard,Da Vineyard,Agriculture,Agricultural,Agricultural-Vineyard,LF 80: Agriculture,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,3548
Eastern Cool Temperate Bush fruit and berries,Dab Bush Fruit and Berries,Shrub,Agricultural,Agricultural-Bush fruit and berries,LF 80: Agriculture,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,12596
Eastern Cool Temperate Row Crop - Close Grown Crop,Da Row Crop - Close Grown Crop,Agriculture,Agricultural,Agricultural-Row Crop-Close Grown Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,391634
Eastern Cool Temperate Row Crop,Da Row Crop,Agriculture,Agricultural,Agricultural-Row Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,31593041
Eastern Cool Temperate Close Grown Crop,Da Close Grown Crop,Agriculture,Agricultural,Agricultural-Close Grown Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,3642630
Eastern Cool Temperate Fallow/Idle Cropland,Dab Fallow/Idle Cropland,Herb,Agricultural,Agricultural-Fallow/Idle Cropland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,3429520
Eastern Cool Temperate Pasture and Hayland,Dab Pasture and Hayland,Herb,Agricultural,Agricultural-Pasture and Hayland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,32690461
Eastern Cool Temperate Wheat,Da Wheat,Agriculture,Agricultural,Agricultural-Wheat,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,444088
Eastern Cool Temperate Aquaculture,Da Aquaculture,Agriculture,Agricultural,Agricultual-Aquaculture,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,3810
Eastern Warm Temperate Orchard,Dab Orchard,Tree,Agricultural,Agricultural-Orchard,LF 80: Agriculture,Tree-dominated,Open tree canopy,Deciduous open tree canopy,242203
Eastern Warm Temperate Vineyard,Da Vineyard,Agriculture,Agricultural,Agricultural-Vineyard,LF 80: Agriculture,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,24
Eastern Warm Temperate Bush fruit and berries,Dab Bush Fruit and Berries,Shrub,Agricultural,Agricultural-Bush fruit and berries,LF 80: Agriculture,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,2678
Eastern Warm Temperate Row Crop - Close Grown Crop,Da Row Crop - Close Grown Crop,Agriculture,Agricultural,Agricultural-Row Crop-Close Grown Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,16345
Eastern Warm Temperate Row Crop,Da Row Crop,Agriculture,Agricultural,Agricultural-Row Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,2236637
Eastern Warm Temperate Close Grown Crop,Da Close Grown Crop,Agriculture,Agricultural,Agricultural-Close Grown Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,127256
Eastern Warm Temperate Fallow/Idle Cropland,Dab Fallow/Idle Cropland,Herb,Agricultural,Agricultural-Fallow/Idle Cropland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,998300
Eastern Warm Temperate Pasture and Hayland,Dab Pasture and Hayland,Herb,Agricultural,Agricultural-Pasture and Hayland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,919935
Eastern Warm Temperate Wheat,Da Wheat,Agriculture,Agricultural,Agricultural-Wheat,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,21406
Eastern Warm Temperate Aquaculture,Da Aquaculture,Agriculture,Agricultural,Agricultual-Aquaculture,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,155
Atlantic Coastal Plain Blackwater Stream Floodplain Forest,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Tree,Riparian,Eastern Small Stream Riparian Forests,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,3630020
Atlantic Coastal Plain Brownwater Stream Floodplain Forest,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Tree,Riparian,Eastern Small Stream Riparian Forests,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,172952
Atlantic Coastal Plain Embayed Region Tidal Freshwater Marsh,He Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Herb,Riparian,Atlantic Coastal Marsh,LF 50: Tidal Flats and Marshes,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,107456
Atlantic Coastal Plain Embayed Region Tidal Salt and Brackish Marsh,He Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Herb,Riparian,Atlantic Coastal Marsh,LF 50: Tidal Flats and Marshes,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,416696
Atlantic Coastal Plain Small Blackwater River Floodplain Forest,Tr Gulf and Atlantic Coastal Plain Floodplain Systems,Tree,Riparian,Eastern Floodplain Forests,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,5843030
Atlantic Coastal Plain Small Brownwater River Floodplain Forest,Tr Gulf and Atlantic Coastal Plain Floodplain Systems,Tree,Riparian,Eastern Floodplain Forests,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,1962040
Central Appalachian River Floodplain Forest,Tr Central Interior and Appalachian Floodplain Systems,Tree,Riparian,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,27211
Central Appalachian Stream and Riparian Woodland,Tr Central Interior and Appalachian Riparian Systems,Tree,Riparian,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,325501
Central Atlantic Coastal Plain Sandy Beach,Sps Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,18435
Central Interior Highlands and Appalachian Sinkhole and Depression Pond,Tr Central Interior and Appalachian Swamp Systems,Tree,Riparian,Atlantic Swamp Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,329
Cumberland Acidic Cliff and Rockhouse,Sps Central Interior and Appalachian Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,14
Cumberland Seepage Forest,Tr Central Interior and Appalachian Swamp Systems,Tree,Riparian,Atlantic Swamp Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Deciduous open tree canopy,2
East Gulf Coastal Plain Depression Pondshore,He East Gulf Coastal Plain Depression Pondshore,Herb,Riparian,Depressional Wetland,SRM 819: Freshwater Marsh and Ponds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,14
East Gulf Coastal Plain Large River Floodplain Forest,Tr Gulf and Atlantic Coastal Plain Floodplain Systems,Tree,Riparian,Eastern Floodplain Forests,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,58438
East Gulf Coastal Plain Small Stream and River Floodplain Forest,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Tree,Riparian,Eastern Small Stream Riparian Forests,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,643
Florida Big Bend Fresh and Oligohaline Tidal Marsh,He Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Herb,Riparian,Atlantic Coastal Marsh,SRM 818: Florida Salt Marsh,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,43
High Allegheny Wetland,Tr Central Interior and Appalachian Swamp Systems,Tree,Riparian,Atlantic Swamp Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,58963
North-Central Appalachian Acidic Cliff and Talus,Sps Central Interior and Appalachian Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,81
North-Central Appalachian Acidic Swamp,Tr Central Interior and Appalachian Swamp Systems,Tree,Riparian,Atlantic Swamp Forests,LF 72: Peatland Forests,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,194
North-Central Appalachian Circumneutral Cliff and Talus,Sps Central Interior and Appalachian Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,46
North-Central Appalachian Seepage Fen,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Herb,Riparian,Inland Marshes and Prairies,LF 45: Central Interior and Appalachian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,4535
North-Central Interior and Appalachian Rich Swamp,Tr Central Interior and Appalachian Swamp Systems,Tree,Riparian,Atlantic Swamp Forests,SAF 39: Black Ash-American Elm-Red Maple,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,1195
North-Central Interior Floodplain Forest,Tr Central Interior and Appalachian Floodplain Systems,Tree,Riparian,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,18415
North-Central Interior Freshwater Marsh,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Herb,Riparian,Inland Marshes and Prairies,LF 45: Central Interior and Appalachian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,2975
North-Central Interior Shrub Alkaline Fen,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Shrub,Riparian,Inland Marshes and Prairies,LF 45: Central Interior and Appalachian Herbaceous Wetland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,2
North-Central Interior Shrub Swamp,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Shrub,Riparian,Inland Marshes and Prairies,LF 45: Central Interior and Appalachian Herbaceous Wetland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,37
Northern Atlantic Coastal Plain Basin Peat Swamp,Tr Gulf and Atlantic Coastal Plain Swamp Systems,Tree,Riparian,Atlantic Swamp Forests,SAF 97: Atlantic White Cedar,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,57107
Northern Atlantic Coastal Plain Basin Swamp and Wet Hardwood Forest,Tr Gulf and Atlantic Coastal Plain Swamp Systems,Tree,Riparian,Atlantic Swamp Forests,LF 46: Atlantic Coastal Plain Swamp,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,1908113
Northern Atlantic Coastal Plain Brackish Tidal Marsh,He Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Herb,Riparian,Atlantic Coastal Marsh,LF 50: Tidal Flats and Marshes,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,155938
Northern Atlantic Coastal Plain Calcareous Ravine,Tr Northern Atlantic Coastal Plain Calcareous Ravine,Tree,Hardwood,Coastal Plain Oak Forest,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,171303
Northern Atlantic Coastal Plain Fresh and Oligohaline Tidal Marsh,He Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Herb,Riparian,Atlantic Coastal Marsh,LF 50: Tidal Flats and Marshes,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,115784
Northern Atlantic Coastal Plain Sandy Beach,Sps Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,9795
Northern Atlantic Coastal Plain Riparian and Floodplain Forest,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Tree,Riparian,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,1000431
Northern Atlantic Coastal Plain Tidal Salt Marsh,He Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Herb,Riparian,Atlantic Coastal Marsh,LF 50: Tidal Flats and Marshes,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,649959
Northern Atlantic Coastal Plain Tidal Swamp,Tr Gulf and Atlantic Coastal Plain Swamp Systems,Tree,Riparian,Atlantic Swamp Forests,LF 46: Atlantic Coastal Plain Swamp,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,176884
Piedmont Seepage Wetland,Tr Central Interior and Appalachian Swamp Systems,Tree,Riparian,Atlantic Swamp Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Deciduous open tree canopy,8804
Piedmont Upland Depression Swamp,Tr Central Interior and Appalachian Swamp Systems,Tree,Riparian,Atlantic Swamp Forests,SAF 88: Willow Oak-Water Oak-Diamondleaf Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,39410
South-Central Interior Large Floodplain Forest,Tr Central Interior and Appalachian Floodplain Systems,Tree,Riparian,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,118554
South-Central Interior Small Stream and Riparian Forest,Tr Central Interior and Appalachian Riparian Systems,Tree,Riparian,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,671000
Southeastern Coastal Plain Interdunal Wetland,He Southeastern Coastal Plain Interdunal Wetland,Herb,Riparian,Inland Marshes and Prairies,LF 70: Gulf Coastal Plain Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,553
Southeastern Coastal Plain Natural Lakeshore,Tr Southeastern Coastal Plain Natural Lakeshore,Tree,Riparian,Cypress,SAF 100: Pond Cypress,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,2049
Southern and Central Appalachian Bog and Fen,Tr Central Interior and Appalachian Swamp Systems,Tree,Riparian,Atlantic Swamp Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,43741
Southern and Central Appalachian Mafic Glade and Barrens,Tr Southern and Central Appalachian Mafic Glade and Barrens,Tree,Conifer-Hardwood,Glades and Barrens,SAF 46: Eastern Redcedar,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,26276
Southern Appalachian Granitic Dome,Sps Central Interior and Appalachian Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,16
Southern Appalachian Seepage Wetland,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Herb,Riparian,Inland Marshes and Prairies,LF 45: Central Interior and Appalachian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,214
Southern Atlantic Coastal Plain Depression Pondshore,He Southern Atlantic Coastal Plain Depression Pondshore,Herb,Riparian,Depressional Wetland,SRM 819: Freshwater Marsh and Ponds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,47301
Southern Atlantic Coastal Plain Fresh and Oligohaline Tidal Marsh,He Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Herb,Riparian,Atlantic Coastal Marsh,LF 50: Tidal Flats and Marshes,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,329910
Southern Atlantic Coastal Plain Large River Floodplain Forest,Tr Gulf and Atlantic Coastal Plain Floodplain Systems,Tree,Riparian,Eastern Floodplain Forests,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,3066378
Southern Atlantic Coastal Plain Salt and Brackish Tidal Marsh,He Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Herb,Riparian,Atlantic Coastal Marsh,LF 50: Tidal Flats and Marshes,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,1481175
Southern Atlantic Coastal Plain Sea Island Beach,Sps Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,77531
Southern Atlantic Coastal Plain Tidal Wooded Swamp,Tr Gulf and Atlantic Coastal Plain Swamp Systems,Tree,Riparian,Atlantic Swamp Forests,LF 46: Atlantic Coastal Plain Swamp,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,950155
Southern Coastal Plain Blackwater River Floodplain Forest,Tr Gulf and Atlantic Coastal Plain Floodplain Systems,Tree,Riparian,Eastern Floodplain Forests,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,1923
Southern Coastal Plain Hydric Hammock,Tr Gulf and Atlantic Coastal Plain Swamp Systems,Tree,Riparian,Atlantic Swamp Forests,LF 46: Atlantic Coastal Plain Swamp,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,5973
Southern Coastal Plain Nonriverine Basin Swamp,Tr Gulf and Atlantic Coastal Plain Swamp Systems,Tree,Riparian,Atlantic Swamp Forests,LF 46: Atlantic Coastal Plain Swamp,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,33606
Southern Coastal Plain Oak Dome and Hammock,Tr Southern Coastal Plain Oak Dome and Hammock,Tree,Riparian,Coastal Plain Oak Forest,SAF 89: Live Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,4
Southern Coastal Plain Sinkhole,Sps Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,694
Southern Piedmont Glade and Barrens,Tr Southern Piedmont Glade and Barrens,Tree,Conifer-Hardwood,Glades and Barrens,SAF 46: Eastern Redcedar,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,1769
Southern Piedmont Granite Flatrock and Outcrop,Sps Central Interior and Appalachian Sparsely Vegetated Systems,Sparse,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,59
Southern Piedmont Large Floodplain Forest,Tr Central Interior and Appalachian Floodplain Systems,Tree,Riparian,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,361329
Southern Piedmont Small Floodplain and Riparian Forest,Tr Central Interior and Appalachian Riparian Systems,Tree,Riparian,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,3361297
Southern Ridge and Valley Calcareous Glade and Woodland,Tr Southern Ridge and Valley Calcareous Glade and Woodland,Tree,Conifer-Hardwood,Glades and Barrens,SAF 46: Eastern Redcedar,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,27586
Southern Ridge and Valley Seepage Fen,Sh Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Herb,Riparian,Inland Marshes and Prairies,LF 45: Central Interior and Appalachian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,300
Northeastern Interior Calcareous Oak Forest,Tr Northeastern Interior Calcareous Oak Forest,Tree,Hardwood,White Oak-Red Oak-Hickory Forest and Woodland,SAF 52: White Oak-Black Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,930741
Northeastern North American Temperate Forest Plantation,Tr Northeastern North American Temperate Forest Plantation,Tree,Conifer,Managed Tree Plantation,LF 61: Managed Tree Plantation,Tree-dominated,Open Tree Canopy,Evergreen open tree canopy,2960702
Northern & Central Native Ruderal Flooded & Swamp Forest,Tr Northern & Central Native Ruderal Flooded & Swamp Forest,Tree,Riparian,Ruderal Forest,LF 53: Ruderal Forest,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,67596
Northern & Central Native Ruderal Forest,Tr Northern & Central Native Ruderal Forest,Tree,Conifer-Hardwood,Ruderal Forest,LF 53: Ruderal Forest,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,8785035
Northern & Central Ruderal Shrubland,Sh Northern & Central Ruderal Meadow & Shrubland,Shrub,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub,LF 52: Introduced Upland Vegetation - Shrub,Shrub-dominated,Shrubland,Deciduous shrubland,214114
Northern & Central Ruderal Wet Meadow & Marsh,He Northern & Central Ruderal Wet Meadow & Marsh,Herb,Riparian,Introduced Herbaceous Wetland Vegetation,LF 59: Introduced Herbaceous Wetland and Riparian Vegetation,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,44766
Southeastern Exotic Ruderal Forest,Tr Southeastern Exotic Ruderal Forest,Tree,Exotic Tree-Shrub,Introduced Upland Vegetation-Treed,LF 51: Introduced Upland Vegetation - Tree,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,62840
Southeastern Native Ruderal Flooded & Swamp Forest,Tr Southeastern Native Ruderal Flooded & Swamp Forest,Tree,Riparian,Introduced Woody Wetland Vegetation,LF 58: Introduced Woody Wetlands and Riparian Vegetation,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,1018993
Southeastern Native Ruderal Forest,Tr Southeastern Native Ruderal Forest,Tree,Conifer-Hardwood,Introduced Upland Vegetation-Treed,LF 51: Introduced Upland Vegetation - Tree,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,27739632
Southeastern North American Temperate Forest Plantation,Tr Southeastern North American Temperate Forest Plantation,Tree,Conifer,Managed Tree Plantation,LF 61: Managed Tree Plantation,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,40808013
Southeastern Ruderal Shrubland,Sh Southeastern Ruderal Grassland & Shrubland,Shrub,Exotic Tree-Shrub,Introduced Upland Vegetation-Shrub,LF 52: Introduced Upland Vegetation - Shrub,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,365774
Southeastern Ruderal Wet Meadow & Marsh,He Southeastern Ruderal Wet Meadow & Marsh,Herb,Riparian,Introduced Herbaceous Wetland Vegetation,LF 59: Introduced Herbaceous Wetland and Riparian Vegetation,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,322138
Southeastern Exotic Ruderal Flooded & Swamp Forest,Tr Southeastern Exotic Ruderal Flooded & Swamp Forest,Tree,Riparian,Introduced Woody Wetland Vegetation,LF 58: Introduced Woody Wetlands and Riparian Vegetation,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,41836
Atlantic Coastal Plain Blackwater Stream Floodplain Shrubland,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Shrub,Riparian,Eastern Small Stream Riparian Forests,SAF 92: Sweetgum-Willow Oak,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,15301
Atlantic Coastal Plain Blackwater Stream Floodplain Herbaceous,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Herb,Riparian,Eastern Small Stream Riparian Forests,SAF 92: Sweetgum-Willow Oak,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,861191
Central Appalachian River Floodplain Shrubland,Tr Central Interior and Appalachian Floodplain Systems,Shrub,Riparian,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,10
Central Appalachian Stream and Riparian Shrubland,Tr Central Interior and Appalachian Riparian Systems,Shrub,Riparian,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,1377
Central Appalachian River Floodplain Herbaceous,Tr Central Interior and Appalachian Floodplain Systems,Herb,Riparian,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,239
Central Appalachian Stream and Riparian Herbaceous,Tr Central Interior and Appalachian Riparian Systems,Herb,Riparian,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,6387
East Gulf Coastal Plain Large River Floodplain Shrubland,Tr Gulf and Atlantic Coastal Plain Floodplain Systems,Shrub,Riparian,Eastern Floodplain Forests,SAF 92: Sweetgum-Willow Oak,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,1
East Gulf Coastal Plain Large River Floodplain Herbaceous,Tr Gulf and Atlantic Coastal Plain Floodplain Systems,Herb,Riparian,Eastern Floodplain Forests,SAF 92: Sweetgum-Willow Oak,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,673
East Gulf Coastal Plain Small Stream and River Floodplain Shrubland,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Shrub,Riparian,Eastern Small Stream Riparian Forests,SAF 92: Sweetgum-Willow Oak,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,1
East Gulf Coastal Plain Small Stream and River Floodplain Herbaceous,Tr Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Herb,Riparian,Eastern Small Stream Riparian Forests,SAF 92: Sweetgum-Willow Oak,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,357
North-Central Interior Floodplain Shrubland,Tr Central Interior and Appalachian Floodplain Systems,Shrub,Riparian,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,176
